,point_of_origin,nearest_point,distance_in_meter
0,POINT (29.04545 41.06984),POINT (29.03654855 41.07449),1085.5960557997148
1,POINT (29.03891 41.07731),POINT (29.03654855 41.07449),379.4112953842702
2,POINT (29.02714000000001 41.07687),POINT (29.0253075 41.0777839),221.76199622044692
3,POINT (29.03882 41.06901),POINT (29.03654855 41.07449),590.1649669164688
4,POINT (28.99829 41.04902),POINT (29.0004588 41.0487174),242.18216619370662
5,POINT (29.03473 41.06486),POINT (29.03654855 41.07449),959.426113781112
6,POINT (29.037 41.06319000000001),POINT (29.03654855 41.07449),1101.806487429297
7,POINT (29.02262 41.05091),POINT (29.016612 41.066644),1671.2111118874795
8,POINT (29.03729 41.08725),POINT (29.03654855 41.07449),1245.5923158743456
9,POINT (29.02777 41.0839),POINT (29.02571553100006 41.07891799500004),536.081504285787
10,POINT (29.02191 41.051),POINT (29.016612 41.066644),1633.2631024021011
11,POINT (29.02335 41.0522),POINT (29.016612 41.066644),1593.0362945615336
12,POINT (28.99978 41.0555),POINT (28.9995352 41.0557256),34.91989011726319
13,POINT (29.0418 41.06678),POINT (29.03654855 41.07449),950.1269094839306
14,POINT (29.03549000000001 41.07538),POINT (29.03654855 41.07449),145.87871948673288
15,POINT (29.00437 41.0638),POINT (29.0009636 41.065532),413.55135268054875
16,POINT (28.99989 41.04457),POINT (29.0004588 41.0487174),409.0053561758095
17,POINT (29.04047000000001 41.08333),POINT (29.03654855 41.07449),964.5217152980163
18,POINT (29.00637 41.05087),POINT (29.0004588 41.0487174),687.9260009857172
19,POINT (29.02981 41.07558),POINT (29.0253075 41.0777839),543.2607151591282
20,POINT (29.02619 41.04851),POINT (29.016612 41.066644),2061.0242290764095
21,POINT (29.02619 41.04944),POINT (29.016612 41.066644),1983.9163802526398
22,POINT (29.02561 41.05101),POINT (29.016612 41.066644),1820.5208118969654
23,POINT (29.011 41.06311),POINT (29.0084154 41.0687452),619.2770523287289
24,POINT (29.00582 41.05164),POINT (29.0001178 41.0527306),640.8791501447316
25,POINT (28.99915 41.04298),POINT (29.0004588 41.0487174),577.5608509789756
26,POINT (29.02634 41.04837),POINT (29.016612 41.066644),2081.289330004256
27,POINT (29.00527 41.04236),POINT (29.0004588 41.0487174),817.3531880522078
28,POINT (29.02004 41.0822),POINT (29.0224208 41.0793328),384.25439393276525
29,POINT (29.00271 41.0475),POINT (29.0004588 41.0487174),276.2748315304323
30,POINT (29.02441 41.07444),POINT (29.0253075 41.0777839),340.59816893885125
31,POINT (29.0191 41.06002),POINT (29.016612 41.066644),701.7743117260553
32,POINT (29.00334 41.05886),POINT (28.9995352 41.0557256),520.6840364472627
33,POINT (29.01426 41.04676),POINT (29.0004588 41.0487174),1541.5111090217774
34,POINT (29.00396 41.04657),POINT (29.0004588 41.0487174),440.8728787827283
35,POINT (29.04122000000001 41.07012),POINT (29.03654855 41.07449),670.2679254622179
36,POINT (29.04483 41.08054),POINT (29.03654855 41.07449),1090.7610847705691
37,POINT (28.99841 41.04436),POINT (29.0004588 41.0487174),481.49335740328763
38,POINT (29.00589 41.05251),POINT (29.0001178 41.0527306),640.1274612968306
39,POINT (29.04417 41.0817),POINT (29.03654855 41.07449),1098.5204636564195
40,POINT (29.01324 41.0789),POINT (29.01365240600007 41.08225028000004),329.59037599949005
41,POINT (29.00474 41.05073),POINT (29.0004588 41.0487174),513.4349491522391
42,POINT (29.00136 41.04596),POINT (29.0004588 41.0487174),286.6420808547099
43,POINT (29.00544 41.04608),POINT (29.0004588 41.0487174),608.9720953864622
44,POINT (29.00734000000001 41.04685),POINT (29.0004588 41.0487174),784.086823605991
45,POINT (29.0021 41.04461),POINT (29.0004588 41.0487174),439.61518852824065
46,POINT (29.00296 41.06015),POINT (28.9995352 41.0557256),574.4032746300896
47,POINT (29.00739 41.04705),POINT (29.0004588 41.0487174),785.2162126616075
48,POINT (28.99769 41.0436),POINT (29.0004588 41.0487174),585.5055431442261
49,POINT (29.04372 41.08183),POINT (29.03654855 41.07449),1069.0729738405723
50,POINT (29.04478 41.08184),POINT (29.03654855 41.07449),1159.6891760818876
51,POINT (29.00029 41.04861),POINT (29.0004588 41.0487174),21.43697173932331
52,POINT (29.00416 41.04855),POINT (29.0004588 41.0487174),410.54961275443094
53,POINT (29.005 41.04439),POINT (29.0004588 41.0487174),656.6003702146863
54,POINT (29.00575 41.04604000000001),POINT (29.0004588 41.0487174),641.8603283969678
55,POINT (28.99886 41.04697),POINT (29.0004588 41.0487174),245.74703888860267
56,POINT (29.02115 41.0841),POINT (29.017553 41.084979),407.7703376727859
57,POINT (29.00572 41.04578),POINT (29.0004588 41.0487174),649.58080021821
58,POINT (29.00077000000001 41.04511),POINT (29.0004588 41.0487174),353.1873140422843
59,POINT (29.03522 41.06246),POINT (29.03654855 41.07449),1181.0008845154855
60,POINT (29.02292000000001 41.04718),POINT (29.016612 41.066644),2020.978191080114
61,POINT (29.01193 41.05888),POINT (29.016612 41.066644),917.3065928486442
62,POINT (29.01141 41.0458),POINT (29.0004588 41.0487174),1246.6254199888906
63,POINT (29.00544 41.04703),POINT (29.0004588 41.0487174),576.0565586799529
64,POINT (29.02106 41.05084),POINT (29.016612 41.066644),1616.6494196316141
65,POINT (29.00827 41.04479),POINT (29.0004588 41.0487174),946.5594496658748
66,POINT (29.00722 41.05661),POINT (28.9995352 41.0557256),856.0990595811226
67,POINT (29.0004 41.04427),POINT (29.0004588 41.0487174),433.3970124211834
68,POINT (28.99706 41.04368),POINT (29.0004588 41.0487174),618.7388402311382
69,POINT (29.02858 41.05),POINT (29.016612 41.066644),2094.89174324319
70,POINT (29.01035 41.04368),POINT (29.0004588 41.0487174),1201.1537888088067
71,POINT (29.01659 41.08922000000001),POINT (29.017713 41.0877267),191.46113917254485
72,POINT (29.02612 41.0505),POINT (29.016612 41.066644),1893.1553846909799
73,POINT (29.0113 41.04397),POINT (29.0004588 41.0487174),1287.5499686874011
74,POINT (29.00007 41.04646),POINT (29.0004588 41.0487174),224.13954975751315
75,POINT (29.00133 41.04581),POINT (29.0004588 41.0487174),299.2956741327953
76,POINT (28.99977 41.04939),POINT (29.0004588 41.0487174),100.61560250550971
77,POINT (29.00081 41.04529),POINT (29.0004588 41.0487174),336.2209511608782
78,POINT (29.00343 41.04393),POINT (29.0004588 41.0487174),571.0018555983094
79,POINT (29.00586 41.04711),POINT (29.0004588 41.0487174),618.7947113017661
80,POINT (29.04246 41.06944),POINT (29.03654855 41.07449),819.290800996034
81,POINT (29.01096 41.08568),POINT (29.01134024300007 41.08607120700003),56.823379612823075
82,POINT (29.02157 41.0741),POINT (29.0183963 41.0726145),380.3664765173521
83,POINT (29.02098 41.05034000000001),POINT (29.016612 41.066644),1660.499939369825
84,POINT (29.02155 41.05244),POINT (29.016612 41.066644),1488.072754704412
85,POINT (29.02305 41.05238),POINT (29.016612 41.066644),1562.1040002867996
86,POINT (29.01591 41.05481),POINT (29.016612 41.066644),1155.5340282347627
87,POINT (29.02916 41.08919),POINT (29.02571553100006 41.07891799500004),1070.9842302155482
88,POINT (29.03468 41.08519),POINT (29.03654855 41.07449),1062.616269191793
89,POINT (29.02268 41.06055),POINT (29.016612 41.066644),897.0978009433697
90,POINT (29.00904 41.05204000000001),POINT (29.0001178 41.0527306),991.1861621081655
91,POINT (29.01134 41.05671),POINT (29.016612 41.066644),1130.5437946005932
92,POINT (29.02238 41.05134),POINT (29.016612 41.066644),1622.210074700751
93,POINT (28.99698 41.04249),POINT (29.0004588 41.0487174),718.9386900472837
94,POINT (29.00318 41.06498),POINT (29.0009636 41.065532),251.475539133735
95,POINT (29.00187 41.05898),POINT (28.9995352 41.0557256),409.2934148807531
96,POINT (28.99892 41.04364),POINT (29.0004588 41.0487174),523.3107795829111
97,POINT (29.04326 41.06949),POINT (29.03654855 41.07449),889.1137846246382
98,POINT (29.0435 41.07135),POINT (29.03654855 41.07449),828.9561086015948
99,POINT (29.00136 41.04307),POINT (29.0004588 41.0487174),559.2637739861389
100,POINT (29.00285 41.04451),POINT (29.0004588 41.0487174),488.1666701858277
101,POINT (29.00648 41.04909),POINT (29.0004588 41.0487174),668.3514011274467
102,POINT (29.00782 41.05356),POINT (29.0001178 41.0527306),857.4962285204517
103,POINT (29.02143 41.05406),POINT (29.016612 41.066644),1337.202312704166
104,POINT (29.02367000000001 41.0711),POINT (29.01847813000007 41.07242234200004),589.6896191797215
105,POINT (29.02278 41.04951),POINT (29.016612 41.066644),1803.7720820211578
106,POINT (29.04416 41.06906),POINT (29.03654855 41.07449),995.7042115984444
107,POINT (29.00425 41.06455),POINT (29.0009636 41.065532),376.60829155085816
108,POINT (28.99951 41.04731),POINT (29.0004588 41.0487174),172.81489121022724
109,POINT (28.99787 41.04259),POINT (29.0004588 41.0487174),662.4204031916165
110,POINT (29.00049000000001 41.04194),POINT (29.0004588 41.0487174),660.3884951399526
111,POINT (29.00134000000001 41.04629),POINT (29.0004588 41.0487174),255.89332157498052
112,POINT (28.99822 41.04375),POINT (29.0004588 41.0487174),543.9204359807147
113,POINT (28.99852000000001 41.04956),POINT (29.0004588 41.0487174),230.0387307321965
114,POINT (28.99953 41.04704),POINT (29.0004588 41.0487174),193.16177764716124
115,POINT (29.01342 41.04586),POINT (29.0004588 41.0487174),1463.294324592979
116,POINT (29.00668 41.05111),POINT (29.0004588 41.0487174),727.8743624065609
117,POINT (29.01172 41.04564),POINT (29.0004588 41.0487174),1283.6549880300038
118,POINT (29.02735 41.06956),POINT (29.0253075 41.0777839),832.4962449267189
119,POINT (28.99847 41.04831),POINT (29.0004588 41.0487174),223.97608957408798
120,POINT (29.00826 41.05303),POINT (29.0001178 41.0527306),902.9189020463141
121,POINT (29.01242 41.08723),POINT (29.01134024300007 41.08607120700003),164.52482656836875
122,POINT (29.03869000000001 41.08516),POINT (29.03654855 41.07449),1066.0546277791789
123,POINT (28.99871 41.0415),POINT (29.0004588 41.0487174),729.4808189754565
124,POINT (29.01877 41.06336),POINT (29.016612 41.066644),399.45889595928537
125,POINT (29.02596 41.04799000000001),POINT (29.016612 41.066644),2091.8659037444063
126,POINT (29.03675 41.06383),POINT (29.03654855 41.07449),1038.572191988676
127,POINT (28.99987 41.04375),POINT (29.0004588 41.0487174),488.39696471746805
128,POINT (29.00755 41.04709),POINT (29.0004588 41.0487174),801.7947259235941
129,POINT (29.00199000000001 41.04416),POINT (29.0004588 41.0487174),475.3881481241757
130,POINT (29.0281 41.05706),POINT (29.016612 41.066644),1578.9125348083167
131,POINT (29.04159000000001 41.07341),POINT (29.03654855 41.07449),568.5918811333187
132,POINT (28.99448 41.03861),POINT (28.99013805 41.03554045),566.6258507814384
133,POINT (29.00109 41.04411),POINT (29.0004588 41.0487174),454.3550151362587
134,POINT (29.02273 41.05205),POINT (29.016612 41.066644),1575.1818411453457
135,POINT (29.00994 41.08903),POINT (29.01134024300007 41.08607120700003),327.39418025242725
136,POINT (29.00556 41.0476),POINT (29.0004588 41.0487174),575.7829721971367
137,POINT (29.0205 41.05098),POINT (29.016612 41.066644),1585.6887805380961
138,POINT (29.02214 41.0738),POINT (29.01847813000007 41.07242234200004),427.4821575113691
139,POINT (29.02052 41.08873),POINT (29.0178818 41.0876828),309.6937224114255
140,POINT (29.00152000000001 41.04384),POINT (29.0004588 41.0487174),489.58255405773986
141,POINT (28.99341 41.04003),POINT (28.99013805 41.03554045),568.2541941437247
142,POINT (29.00009 41.04667),POINT (29.0004588 41.0487174),203.6405606826531
143,POINT (29.00577 41.05069),POINT (29.0004588 41.0487174),619.2539557948312
144,POINT (29.01882 41.09187),POINT (29.017713 41.0877267),421.883396372623
145,POINT (29.0015 41.04902),POINT (29.0004588 41.0487174),119.10928113349767
146,POINT (29.00659000000001 41.05334000000001),POINT (29.0001178 41.0527306),719.804820379198
147,POINT (29.00709 41.04689000000001),POINT (29.0004588 41.0487174),756.2344727997778
148,POINT (29.04013 41.07099),POINT (29.03654855 41.07449),523.2524124380545
149,POINT (29.00777 41.0441),POINT (29.0004588 41.0487174),926.856313221816
150,POINT (29.02394 41.07108),POINT (29.01847813000007 41.07242234200004),619.3355298937528
151,POINT (29.00613 41.04678),POINT (29.0004588 41.0487174),656.3061838050255
152,POINT (29.00606 41.04726),POINT (29.0004588 41.0487174),636.8472056060684
153,POINT (29.00169 41.04788),POINT (29.0004588 41.0487174),158.99456207966327
154,POINT (29.01287 41.04299),POINT (29.0004588 41.0487174),1484.4852272169048
155,POINT (29.00191 41.04505),POINT (29.0004588 41.0487174),391.87417443455377
156,POINT (29.00409 41.04923),POINT (29.0004588 41.0487174),405.55427467925745
157,POINT (28.9983 41.04882),POINT (29.0004588 41.0487174),239.48098931016958
