,point_of_origin,nearest_point,distance_in_meter
0,POINT (29.05367 41.0565),POINT (29.03654855 41.07449),2582.881311468041
1,POINT (29.04545 41.06984),POINT (29.03654855 41.07449),1085.5960557997148
2,POINT (29.03891 41.07731),POINT (29.03654855 41.07449),379.4112953842702
3,POINT (28.98216 41.0322),POINT (28.9796001 41.03029625),339.00449716258845
4,POINT (28.98567 41.04471),POINT (28.9821093 41.0412067),521.834646627158
5,POINT (29.05559 41.09048),POINT (29.03654855 41.07449),2622.8839728623034
6,POINT (28.95254000000001 41.04844),POINT (28.953994 41.036385),1186.1524138173786
7,POINT (28.97626 41.0335),POINT (28.9780884 41.0317305),266.09899707877287
8,POINT (28.99739000000001 41.05382),POINT (28.9971406 41.05509910000001),127.6659011158022
9,POINT (29.02714000000001 41.07687),POINT (29.0253075 41.0777839),221.76199622044692
10,POINT (29.07596 41.08765),POINT (29.1013868 41.0943323),2892.348899670789
11,POINT (29.03882 41.06901),POINT (29.03654855 41.07449),590.1649669164688
12,POINT (28.97588 41.02704),POINT (28.9796001 41.03029625),520.3075450662532
13,POINT (28.97213 41.03658),POINT (28.9780884 41.0317305),812.1093010161591
14,POINT (28.99829 41.04902),POINT (29.0004588 41.0487174),242.18216619370662
15,POINT (28.97718 41.02725),POINT (28.9796001 41.03029625),400.1118806899568
16,POINT (28.97958 41.03082),POINT (28.9796001 41.03029625),51.092242863938814
17,POINT (29.03473 41.06486),POINT (29.03654855 41.07449),959.426113781112
18,POINT (28.98902 41.03467),POINT (28.99013805 41.03554045),150.17072301084394
19,POINT (28.98895 41.06761),POINT (28.9899423 41.06849260000001),139.6191424744107
20,POINT (28.99203 41.06837),POINT (28.9936129 41.0679197),180.84590129355183
21,POINT (28.96325 41.01717),POINT (28.95731345 41.01471045),700.2957232702757
22,POINT (28.97858 41.02752),POINT (28.9796001 41.03029625),293.24218384887257
23,POINT (28.98189 41.0385),POINT (28.9821093 41.0412067),264.90104858288925
24,POINT (28.98002 41.04693),POINT (28.9821093 41.0412067),603.9333452459977
25,POINT (28.98561 41.03442),POINT (28.99013805 41.03554045),513.6093130589559
26,POINT (28.99067 41.03704000000001),POINT (28.99013805 41.03554045),157.57397779615908
27,POINT (28.98706 41.03553),POINT (28.99013805 41.03554045),341.1589662235118
28,POINT (28.99057 41.03343),POINT (28.99013805 41.03554045),211.15798713201633
29,POINT (28.98873 41.03656),POINT (28.99013805 41.03554045),185.0042425932595
30,POINT (28.99015 41.05018),POINT (28.98894300000007 41.05008799900003),134.07863760124437
31,POINT (28.97876 41.03326),POINT (28.9780884 41.0317305),166.61595683236524
32,POINT (28.97404 41.02945),POINT (28.9780884 41.0317305),500.7362283757419
33,POINT (28.98053 41.03082),POINT (28.9796001 41.03029625),115.01306158584573
34,POINT (28.97836 41.01429),POINT (28.9796001 41.03029625),1565.9904792359985
35,POINT (29.037 41.06319000000001),POINT (29.03654855 41.07449),1101.806487429297
36,POINT (28.984 41.03103),POINT (28.9796001 41.03029625),492.87985629565503
37,POINT (28.97648 41.00389000000001),POINT (28.95731345 41.01471045),2371.7290074107664
38,POINT (28.97851 41.00527),POINT (28.95731345 41.01471045),2523.094158734294
39,POINT (28.99216 41.03518),POINT (28.99013805 41.03554045),226.84001641383122
40,POINT (29.04442 40.97618),POINT (29.0400193 40.9830405),827.2904887657961
41,POINT (28.97297 41.03398),POINT (28.9780884 41.0317305),608.1902075988976
42,POINT (28.95651 41.06496),POINT (28.9459883 41.0693131),1240.9831499897568
43,POINT (28.9779 41.02893),POINT (28.9796001 41.03029625),230.72950700485467
44,POINT (29.05151 40.98242),POINT (29.04693296500005 40.98701972100001),676.7877615214805
45,POINT (28.98537 41.03282),POINT (28.99013805 41.03554045),591.2383224359739
46,POINT (28.9759 41.02658),POINT (28.9796001 41.03029625),547.1394423222612
47,POINT (29.02865 40.98373),POINT (29.0381205 40.9852841),1060.535023997494
48,POINT (28.9773 41.03577),POINT (28.9780884 41.0317305),403.27001809456243
49,POINT (28.98387 41.03895),POINT (28.9821093 41.0412067),294.02443247522996
50,POINT (28.9803 41.04753),POINT (28.9821093 41.0412067),648.0542671422252
51,POINT (29.02771 40.98697),POINT (29.0381205 40.9852841),1165.488893639849
52,POINT (29.1291 40.87171),POINT (29.12400894000007 40.93558331700007),6241.709356998991
53,POINT (28.98219000000001 41.03767),POINT (28.9821093 41.0412067),344.7874139641242
54,POINT (28.98714 41.03224),POINT (28.99013805 41.03554045),462.4513284294031
55,POINT (28.97942 41.03061),POINT (28.9796001 41.03029625),36.51633146469573
56,POINT (28.97488 41.02622),POINT (28.9796001 41.03029625),656.8984206860041
57,POINT (29.03753 41.16308),POINT (29.05480284200007 41.16968134000007),2019.5389558201855
58,POINT (28.98163 41.03614),POINT (28.9821093 41.0412067),496.6292707065633
59,POINT (28.98199 41.03886),POINT (28.9821093 41.0412067),229.0813078352667
60,POINT (29.16943 40.9476),POINT (29.19725165 40.95915605),3282.183731939641
61,POINT (29.06929 41.01694000000001),POINT (29.07273431600004 41.00658345600004),1078.2808774692753
62,POINT (28.97696 41.0278),POINT (28.9796001 41.03029625),380.54030497394234
63,POINT (29.01548 41.01602000000001),POINT (29.01217945 41.0053215),1104.6434121322698
64,POINT (28.98561 41.07005),POINT (28.9839321 41.0685933),233.96118599815134
65,POINT (28.9869 41.03237),POINT (28.99013805 41.03554045),473.5596120476125
66,POINT (28.98594000000001 41.02894000000001),POINT (28.9796001 41.03029625),715.0085566649819
67,POINT (28.97725 41.00341),POINT (28.95731345 41.01471045),2468.9760270271067
68,POINT (28.98414 41.03135),POINT (28.9796001 41.03029625),513.5544230876861
69,POINT (28.9779 41.02842),POINT (28.9796001 41.03029625),262.57014377459626
70,POINT (28.97612 41.02997),POINT (28.9780884 41.0317305),277.5550194435004
71,POINT (28.97604 41.02976),POINT (28.9780884 41.0317305),297.3660206910916
72,POINT (28.97653 41.02855),POINT (28.9796001 41.03029625),380.46256139843183
73,POINT (28.97625 41.02885),POINT (28.9780884 41.0317305),346.885956027756
74,POINT (28.97623 41.02931),POINT (28.9780884 41.0317305),313.17151848064
75,POINT (29.01527 41.0164),POINT (29.01217945 41.0053215),1132.3864507703254
76,POINT (28.68328 41.02719),POINT (28.656984 41.013361),3212.614701622847
77,POINT (28.97583 41.0297),POINT (28.9780884 41.0317305),319.0881933593418
78,POINT (28.98182000000001 41.03023),POINT (28.9796001 41.03029625),246.128307022455
79,POINT (28.97759000000001 41.02941),POINT (28.9796001 41.03029625),238.94727116276044
80,POINT (28.99193 41.03506),POINT (28.99013805 41.03554045),204.05552683142076
81,POINT (29.08596 41.0787),POINT (29.1013868 41.0943323),2289.0109661174984
82,POINT (29.06553 40.97543),POINT (29.0609895 40.9713669),640.167260917341
83,POINT (28.92851 41.019),POINT (28.93311846700005 41.01505125600005),639.6343798303662
84,POINT (28.98331 41.02918),POINT (28.9796001 41.03029625),425.33546868424804
85,POINT (28.9766 41.02874),POINT (28.9780884 41.0317305),334.9029855706788
86,POINT (28.97892 41.02845),POINT (28.9796001 41.03029625),195.08387426153521
87,POINT (28.97341 41.03533),POINT (28.9780884 41.0317305),626.0555092198671
88,POINT (29.03173 41.03382),POINT (29.03867389500005 41.02383388600003),1240.3615621339047
89,POINT (28.99103 41.05585),POINT (28.9910654 41.0517089),403.5580997011468
90,POINT (28.73866 41.10619000000001),POINT (28.6790924 41.0620668),7884.980711654747
91,POINT (28.97919000000001 41.02865),POINT (28.9796001 41.03029625),166.75496415005188
92,POINT (28.97787000000001 41.0029),POINT (28.95731345 41.01471045),2552.689009039516
93,POINT (28.98118 41.03077),POINT (28.9796001 41.03029625),181.09344754080874
94,POINT (28.98167 41.03073),POINT (28.9796001 41.03029625),233.2802455526492
95,POINT (29.02667000000001 40.98598),POINT (29.0381205 40.9852841),1270.9400578742566
96,POINT (29.02542 40.98627000000001),POINT (29.0381205 40.9852841),1410.9483954746895
97,POINT (28.97874 41.0068),POINT (28.95731345 41.01471045),2496.844126250566
98,POINT (29.02177 40.98441),POINT (29.0381205 40.9852841),1814.2274409532927
99,POINT (28.94331 41.01309000000001),POINT (28.9458539 41.0123804),290.31564078962947
100,POINT (28.98221 41.03433),POINT (28.9796001 41.03029625),488.0751183212679
101,POINT (28.90203 41.08744),POINT (28.8603265 41.1061175),4968.299337922255
102,POINT (28.98564 41.03203),POINT (28.99013805 41.03554045),604.6275951209299
103,POINT (28.98488 41.03297),POINT (28.99013805 41.03554045),634.3323040428082
104,POINT (28.9811 41.03324),POINT (28.9796001 41.03029625),331.5754977268642
105,POINT (28.9748 41.02437000000001),POINT (28.9796001 41.03029625),785.2630250311444
106,POINT (28.94568 41.01106),POINT (28.9458539 41.0123804),130.16040773128918
107,POINT (28.94706 41.01232),POINT (28.9458539 41.0123804),133.80757488044333
108,POINT (28.99495 41.0613),POINT (28.9967448 41.0652149),430.230645041217
109,POINT (28.97276 41.02625),POINT (28.9780884 41.0317305),796.2943788932207
