point_of_origin,nearest_point,distance_in_meter
POINT (29.04545 41.06984),POINT (29.03654855 41.07449),1085.5960557997148
POINT (29.03891 41.07731),POINT (29.03654855 41.07449),379.4112953842702
POINT (29.02714000000001 41.07687),POINT (29.0253075 41.0777839),221.76199622044692
POINT (29.03882 41.06901),POINT (29.03654855 41.07449),590.1649669164688
POINT (28.99829 41.04902),POINT (29.0004588 41.0487174),242.18216619370662
POINT (29.03473 41.06486),POINT (29.03654855 41.07449),959.426113781112
POINT (29.037 41.06319000000001),POINT (29.03654855 41.07449),1101.806487429297
POINT (29.02262 41.05091),POINT (29.016612 41.066644),1671.2111118874795
POINT (29.03729 41.08725),POINT (29.03654855 41.07449),1245.5923158743456
POINT (29.02777 41.0839),POINT (29.02571553100006 41.07891799500004),536.081504285787
POINT (29.02191 41.051),POINT (29.016612 41.066644),1633.2631024021011
POINT (29.02335 41.0522),POINT (29.016612 41.066644),1593.0362945615336
POINT (29.0418 41.06678),POINT (29.03654855 41.07449),950.1269094839306
POINT (29.03549000000001 41.07538),POINT (29.03654855 41.07449),145.87871948673288
POINT (28.99989 41.04457),POINT (29.0004588 41.0487174),409.0053561758095
POINT (29.00637 41.05087),POINT (29.0004588 41.0487174),687.9260009857172
POINT (29.02981 41.07558),POINT (29.0253075 41.0777839),543.2607151591282
POINT (29.02619 41.04851),POINT (29.016612 41.066644),2061.0242290764095
POINT (29.02619 41.04944),POINT (29.016612 41.066644),1983.9163802526398
POINT (29.02561 41.05101),POINT (29.016612 41.066644),1820.5208118969654
POINT (29.011 41.06311),POINT (29.0084154 41.0687452),619.2770523287289
POINT (29.00582 41.05164),POINT (29.0001178 41.0527306),640.8791501447316
POINT (28.99915 41.04298),POINT (29.0004588 41.0487174),577.5608509789756
POINT (29.02634 41.04837),POINT (29.016612 41.066644),2081.289330004256
POINT (29.00527 41.04236),POINT (29.0004588 41.0487174),817.3531880522078
POINT (29.02004 41.0822),POINT (29.0224208 41.0793328),384.25439393276525
POINT (29.00271 41.0475),POINT (29.0004588 41.0487174),276.2748315304323
POINT (29.02441 41.07444),POINT (29.0253075 41.0777839),340.59816893885125
POINT (29.0191 41.06002),POINT (29.016612 41.066644),701.7743117260553
POINT (29.01426 41.04676),POINT (29.0004588 41.0487174),1541.5111090217774
POINT (29.00396 41.04657),POINT (29.0004588 41.0487174),440.8728787827283
POINT (29.04122000000001 41.07012),POINT (29.03654855 41.07449),670.2679254622179
POINT (29.04483 41.08054),POINT (29.03654855 41.07449),1090.7610847705691
POINT (28.99841 41.04436),POINT (29.0004588 41.0487174),481.49335740328763
POINT (29.00589 41.05251),POINT (29.0001178 41.0527306),640.1274612968306
POINT (29.01324 41.0789),POINT (29.01365240600007 41.08225028000004),329.59037599949005
POINT (29.00474 41.05073),POINT (29.0004588 41.0487174),513.4349491522391
POINT (29.00136 41.04596),POINT (29.0004588 41.0487174),286.6420808547099
POINT (29.00544 41.04608),POINT (29.0004588 41.0487174),608.9720953864622
POINT (29.00734000000001 41.04685),POINT (29.0004588 41.0487174),784.086823605991
POINT (29.0021 41.04461),POINT (29.0004588 41.0487174),439.61518852824065
POINT (29.00296 41.06015),POINT (28.9995352 41.0557256),574.4032746300896
POINT (29.00739 41.04705),POINT (29.0004588 41.0487174),785.2162126616075
POINT (28.99769 41.0436),POINT (29.0004588 41.0487174),585.5055431442261
POINT (29.04372 41.08183),POINT (29.03654855 41.07449),1069.0729738405723
POINT (29.00029 41.04861),POINT (29.0004588 41.0487174),21.43697173932331
POINT (29.00416 41.04855),POINT (29.0004588 41.0487174),410.54961275443094
POINT (29.005 41.04439),POINT (29.0004588 41.0487174),656.6003702146863
POINT (29.00575 41.04604000000001),POINT (29.0004588 41.0487174),641.8603283969678
POINT (29.00572 41.04578),POINT (29.0004588 41.0487174),649.58080021821
POINT (29.00077000000001 41.04511),POINT (29.0004588 41.0487174),353.1873140422843
POINT (29.03522 41.06246),POINT (29.03654855 41.07449),1181.0008845154855
POINT (29.02292000000001 41.04718),POINT (29.016612 41.066644),2020.978191080114
POINT (29.01193 41.05888),POINT (29.016612 41.066644),917.3065928486442
POINT (29.01141 41.0458),POINT (29.0004588 41.0487174),1246.6254199888906
POINT (29.00544 41.04703),POINT (29.0004588 41.0487174),576.0565586799529
POINT (29.02106 41.05084),POINT (29.016612 41.066644),1616.6494196316141
POINT (29.00827 41.04479),POINT (29.0004588 41.0487174),946.5594496658748
POINT (29.00722 41.05661),POINT (28.9995352 41.0557256),856.0990595811226
POINT (29.0004 41.04427),POINT (29.0004588 41.0487174),433.3970124211834
POINT (28.99706 41.04368),POINT (29.0004588 41.0487174),618.7388402311382
POINT (29.02858 41.05),POINT (29.016612 41.066644),2094.89174324319
POINT (29.01035 41.04368),POINT (29.0004588 41.0487174),1201.1537888088067
POINT (29.01659 41.08922000000001),POINT (29.017713 41.0877267),191.46113917254485
POINT (29.02612 41.0505),POINT (29.016612 41.066644),1893.1553846909799
POINT (29.0113 41.04397),POINT (29.0004588 41.0487174),1287.5499686874011
POINT (29.00007 41.04646),POINT (29.0004588 41.0487174),224.13954975751315
POINT (29.00133 41.04581),POINT (29.0004588 41.0487174),299.2956741327953
POINT (28.99977 41.04939),POINT (29.0004588 41.0487174),100.61560250550971
POINT (29.00081 41.04529),POINT (29.0004588 41.0487174),336.2209511608782
POINT (29.00343 41.04393),POINT (29.0004588 41.0487174),571.0018555983094
POINT (29.00586 41.04711),POINT (29.0004588 41.0487174),618.7947113017661
POINT (29.04246 41.06944),POINT (29.03654855 41.07449),819.290800996034
POINT (29.01096 41.08568),POINT (29.01134024300007 41.08607120700003),56.823379612823075
POINT (29.02157 41.0741),POINT (29.0183963 41.0726145),380.3664765173521
POINT (29.02098 41.05034000000001),POINT (29.016612 41.066644),1660.499939369825
POINT (29.02155 41.05244),POINT (29.016612 41.066644),1488.072754704412
POINT (29.02305 41.05238),POINT (29.016612 41.066644),1562.1040002867996
POINT (29.01591 41.05481),POINT (29.016612 41.066644),1155.5340282347627
POINT (29.02916 41.08919),POINT (29.02571553100006 41.07891799500004),1070.9842302155482
POINT (29.03468 41.08519),POINT (29.03654855 41.07449),1062.616269191793
POINT (29.02268 41.06055),POINT (29.016612 41.066644),897.0978009433697
POINT (29.00904 41.05204000000001),POINT (29.0001178 41.0527306),991.1861621081655
POINT (29.01134 41.05671),POINT (29.016612 41.066644),1130.5437946005932
POINT (29.02238 41.05134),POINT (29.016612 41.066644),1622.210074700751
POINT (28.99698 41.04249),POINT (29.0004588 41.0487174),718.9386900472837
POINT (29.00318 41.06498),POINT (29.0009636 41.065532),251.475539133735
POINT (29.00187 41.05898),POINT (28.9995352 41.0557256),409.2934148807531
POINT (28.99892 41.04364),POINT (29.0004588 41.0487174),523.3107795829111
POINT (29.04326 41.06949),POINT (29.03654855 41.07449),889.1137846246382
POINT (29.0435 41.07135),POINT (29.03654855 41.07449),828.9561086015948
POINT (29.00136 41.04307),POINT (29.0004588 41.0487174),559.2637739861389
POINT (29.00285 41.04451),POINT (29.0004588 41.0487174),488.1666701858277
POINT (29.00648 41.04909),POINT (29.0004588 41.0487174),668.3514011274467
POINT (29.00782 41.05356),POINT (29.0001178 41.0527306),857.4962285204517
POINT (29.02143 41.05406),POINT (29.016612 41.066644),1337.202312704166
POINT (29.02278 41.04951),POINT (29.016612 41.066644),1803.7720820211578
POINT (29.04416 41.06906),POINT (29.03654855 41.07449),995.7042115984444
POINT (29.00425 41.06455),POINT (29.0009636 41.065532),376.60829155085816
POINT (28.99951 41.04731),POINT (29.0004588 41.0487174),172.81489121022724
POINT (28.99787 41.04259),POINT (29.0004588 41.0487174),662.4204031916165
POINT (29.00049000000001 41.04194),POINT (29.0004588 41.0487174),660.3884951399526
POINT (28.99822 41.04375),POINT (29.0004588 41.0487174),543.9204359807147
POINT (28.99852000000001 41.04956),POINT (29.0004588 41.0487174),230.0387307321965
POINT (28.99953 41.04704),POINT (29.0004588 41.0487174),193.16177764716124
POINT (29.01342 41.04586),POINT (29.0004588 41.0487174),1463.294324592979
POINT (29.00668 41.05111),POINT (29.0004588 41.0487174),727.8743624065609
POINT (29.01172 41.04564),POINT (29.0004588 41.0487174),1283.6549880300038
POINT (29.02735 41.06956),POINT (29.0253075 41.0777839),832.4962449267189
POINT (28.99847 41.04831),POINT (29.0004588 41.0487174),223.97608957408798
POINT (29.00826 41.05303),POINT (29.0001178 41.0527306),902.9189020463141
POINT (29.01242 41.08723),POINT (29.01134024300007 41.08607120700003),164.52482656836875
POINT (29.03869000000001 41.08516),POINT (29.03654855 41.07449),1066.0546277791789
POINT (29.01877 41.06336),POINT (29.016612 41.066644),399.45889595928537
POINT (29.02596 41.04799000000001),POINT (29.016612 41.066644),2091.8659037444063
POINT (29.03675 41.06383),POINT (29.03654855 41.07449),1038.572191988676
POINT (28.99987 41.04375),POINT (29.0004588 41.0487174),488.39696471746805
POINT (29.00755 41.04709),POINT (29.0004588 41.0487174),801.7947259235941
POINT (29.00199000000001 41.04416),POINT (29.0004588 41.0487174),475.3881481241757
POINT (29.0281 41.05706),POINT (29.016612 41.066644),1578.9125348083167
POINT (29.04159000000001 41.07341),POINT (29.03654855 41.07449),568.5918811333187
POINT (28.99448 41.03861),POINT (28.99013805 41.03554045),566.6258507814384
POINT (29.00109 41.04411),POINT (29.0004588 41.0487174),454.3550151362587
POINT (29.02273 41.05205),POINT (29.016612 41.066644),1575.1818411453457
POINT (29.00994 41.08903),POINT (29.01134024300007 41.08607120700003),327.39418025242725
POINT (29.00556 41.0476),POINT (29.0004588 41.0487174),575.7829721971367
POINT (29.0205 41.05098),POINT (29.016612 41.066644),1585.6887805380961
POINT (29.02214 41.0738),POINT (29.01847813000007 41.07242234200004),427.4821575113691
POINT (29.02052 41.08873),POINT (29.0178818 41.0876828),309.6937224114255
POINT (28.99341 41.04003),POINT (28.99013805 41.03554045),568.2541941437247
POINT (29.00009 41.04667),POINT (29.0004588 41.0487174),203.6405606826531
POINT (29.00577 41.05069),POINT (29.0004588 41.0487174),619.2539557948312
POINT (29.01882 41.09187),POINT (29.017713 41.0877267),421.883396372623
POINT (29.0015 41.04902),POINT (29.0004588 41.0487174),119.10928113349767
POINT (29.00659000000001 41.05334000000001),POINT (29.0001178 41.0527306),719.804820379198
POINT (29.00709 41.04689000000001),POINT (29.0004588 41.0487174),756.2344727997778
POINT (29.04013 41.07099),POINT (29.03654855 41.07449),523.2524124380545
POINT (29.00777 41.0441),POINT (29.0004588 41.0487174),926.856313221816
POINT (29.02394 41.07108),POINT (29.01847813000007 41.07242234200004),619.3355298937528
POINT (29.00613 41.04678),POINT (29.0004588 41.0487174),656.3061838050255
POINT (29.00606 41.04726),POINT (29.0004588 41.0487174),636.8472056060684
POINT (29.00169 41.04788),POINT (29.0004588 41.0487174),158.99456207966327
POINT (29.01287 41.04299),POINT (29.0004588 41.0487174),1484.4852272169048
POINT (29.00191 41.04505),POINT (29.0004588 41.0487174),391.87417443455377
POINT (29.00409 41.04923),POINT (29.0004588 41.0487174),405.55427467925745
POINT (28.9983 41.04882),POINT (29.0004588 41.0487174),239.48098931016958
POINT (29.02188 41.05255),POINT (29.016612 41.066644),1492.040891021277
POINT (29.03951 41.08732),POINT (29.03654855 41.07449),1292.0710434931182
POINT (29.00504 41.04745),POINT (29.0004588 41.0487174),522.5621730495654
POINT (29.00553 41.04491),POINT (29.0004588 41.0487174),673.4598477032349
POINT (28.99879 41.04594),POINT (29.0004588 41.0487174),327.7966025699226
POINT (29.01043 41.04449),POINT (29.0004588 41.0487174),1179.4268371728988
POINT (29.0008 41.04562),POINT (29.0004588 41.0487174),304.16552284774434
POINT (29.02291 41.07589),POINT (29.0253075 41.0777839),323.4985463000041
POINT (29.02353 41.07495),POINT (29.0253075 41.0777839),339.15563604349563
POINT (29.00811 41.05483),POINT (29.0001178 41.0527306),909.1334727047898
POINT (29.00936 41.08905),POINT (29.01134024300007 41.08607120700003),363.8692863179819
POINT (29.00542 41.04733),POINT (29.0004588 41.0487174),566.251653640971
POINT (29.00203 41.05697),POINT (28.9995352 41.0557256),301.9297207562491
POINT (29.00261 41.04763),POINT (29.0004588 41.0487174),260.91183698681994
POINT (29.0041 41.04708),POINT (29.0004588 41.0487174),433.9665885533753
POINT (28.99924 41.04674),POINT (29.0004588 41.0487174),235.31346888696544
POINT (29.00618 41.0528),POINT (29.0001178 41.0527306),671.9429128584555
POINT (29.034 41.08457),POINT (29.02571553100006 41.07891799500004),1070.631114000296
POINT (29.00467 41.04812),POINT (29.0004588 41.0487174),470.3673389235063
POINT (29.00641 41.05647),POINT (28.9995352 41.0557256),765.4183604582643
POINT (29.00264 41.04404),POINT (29.0004588 41.0487174),515.9042134700311
POINT (29.00633 41.05222),POINT (29.0001178 41.0527306),690.3293241496626
POINT (29.0246 41.07551),POINT (29.0253075 41.0777839),234.98343467280725
POINT (29.02262 41.05277),POINT (29.016612 41.066644),1506.7456173081532
POINT (28.99871 41.04600000000001),POINT (29.0004588 41.0487174),328.14504683095856
POINT (28.99914 41.04854),POINT (29.0004588 41.0487174),147.18873337353418
POINT (29.02318 41.07579000000001),POINT (29.0253075 41.0777839),305.5027540514819
POINT (29.00644 41.0588),POINT (28.9995352 41.0557256),821.837873090049
POINT (29.03179 41.08415),POINT (29.02571553100006 41.07891799500004),844.4212566256965
POINT (29.0075 41.05693),POINT (28.9995352 41.0557256),890.5509538902213
POINT (29.03699000000001 41.07405),POINT (29.03654855 41.07449),65.04477010186247
POINT (29.00467 41.0408),POINT (29.0004588 41.0487174),901.6555248747833
POINT (29.00202 41.04386),POINT (29.0004588 41.0487174),503.93358196033864
POINT (29.00551 41.0552),POINT (29.0001178 41.0527306),644.2646274724259
POINT (29.02798 41.08417),POINT (29.02571553100006 41.07891799500004),569.8647633279452
POINT (29.00807 41.06024),POINT (29.0084154 41.0687452),829.5554608158739
POINT (29.00363 41.06332),POINT (29.0009636 41.065532),365.7768884562306
POINT (29.02129 41.05101),POINT (29.016612 41.066644),1608.916311626862
POINT (29.02657 41.05009),POINT (29.016612 41.066644),1954.192006778122
POINT (29.02576 41.04873),POINT (29.016612 41.066644),2018.328724116106
POINT (29.0263 41.04966),POINT (29.016612 41.066644),1972.453991595186
POINT (29 41.04547),POINT (29.0004588 41.0487174),320.4824687307874
POINT (29.00388 41.05975),POINT (28.9995352 41.0557256),621.0175170434287
POINT (29.01729000000001 41.06286),POINT (29.016612 41.066644),376.2298229144406
POINT (28.99873 41.04333),POINT (29.0004588 41.0487174),558.8220960689612
POINT (29.00167 41.06093),POINT (29.0009039 41.06547929999999),451.3326677040151
POINT (29.00899 41.06013),POINT (29.0084154 41.0687452),841.7979118229089
POINT (29.0082 41.06021),POINT (29.0084154 41.0687452),831.936687202584
POINT (29.01463 41.09082),POINT (29.017713 41.0877267),455.6120790593652
POINT (29.02588 41.05122),POINT (29.016612 41.066644),1820.1585699581717
POINT (29.00262 41.04411),POINT (29.0004588 41.0487174),508.84160178665115
POINT (29.02741 41.07724),POINT (29.0253075 41.0777839),238.9805202468885
POINT (29.02589 41.05036),POINT (29.016612 41.066644),1890.515648737101
POINT (29.00369 41.04382),POINT (29.0004588 41.0487174),596.6298360678389
POINT (29.00973 41.04669000000001),POINT (29.0004588 41.0487174),1046.3960117422507
POINT (29.00146 41.04515),POINT (29.0004588 41.0487174),364.8836459761328
POINT (28.99948 41.04728),POINT (29.0004588 41.0487174),177.1600107925801
POINT (29.00405 41.04758),POINT (29.0004588 41.0487174),413.1740386453375
POINT (29.00207 41.04112),POINT (29.0004588 41.0487174),761.5083441373844
POINT (29.00391 41.04761),POINT (29.0004588 41.0487174),397.44387655178883
POINT (29.0274 41.05257),POINT (29.016612 41.066644),1819.2078095647446
POINT (29.02945 41.05247),POINT (29.016612 41.066644),1982.7441257162855
POINT (29.0284 41.05127),POINT (29.016612 41.066644),1987.4974307584368
POINT (29.02951 41.05381),POINT (29.016612 41.066644),1899.154600372146
POINT (29.02884 41.05254),POINT (29.016612 41.066644),1929.9389513004455
POINT (28.99817 41.04438),POINT (29.0004588 41.0487174),492.9236698244576
POINT (29.02807 41.05422),POINT (29.016612 41.066644),1754.3304658585007
POINT (29.02819 41.05351),POINT (29.016612 41.066644),1812.137998149843
POINT (29.00109 41.04746),POINT (29.0004588 41.0487174),141.08574205159493
POINT (29.00495 41.0657),POINT (29.00658198800005 41.06918643200004),384.8525213269559
POINT (29.00172 41.04695),POINT (29.0004588 41.0487174),221.80402926559302
POINT (28.99925 41.04596),POINT (29.0004588 41.0487174),300.23036342612124
POINT (29.01282 41.04655),POINT (29.0004588 41.0487174),1386.2437058963628
POINT (29.00528 41.06425),POINT (29.0009636 41.065532),494.4502097957746
POINT (29.00523 41.06458),POINT (29.0009636 41.065532),481.8819474487439
POINT (29.03766 41.06434),POINT (29.03654855 41.07449),996.2968260140854
POINT (29.0037 41.06436),POINT (29.0009636 41.065532),324.07742206626193
POINT (29.00523 41.0652),POINT (29.00658198800005 41.06918643200004),416.31495568582505
POINT (28.99856 41.04431),POINT (29.0004588 41.0487174),478.24915166561243
POINT (28.99824000000001 41.04625),POINT (29.0004588 41.0487174),343.91958242120336
POINT (29.01914 41.06281),POINT (29.016612 41.066644),466.9293210228567
POINT (29.0089 41.05532),POINT (29.0001178 41.0527306),1005.5483373382665
POINT (29.0121 41.04391),POINT (29.0004588 41.0487174),1372.65269707432
POINT (29.00227000000001 41.04539000000001),POINT (29.0004588 41.0487174),381.33130291804946
POINT (29.00431 41.04588),POINT (29.0004588 41.0487174),508.562233400439
POINT (29.00457 41.05641),POINT (28.9995352 41.0557256),562.0064679419406
POINT (29.00546 41.05219),POINT (29.0001178 41.0527306),594.4454020639347
POINT (29.02212 41.0532),POINT (29.016612 41.066644),1445.0156438496135
POINT (29.02767 41.05139000000001),POINT (29.016612 41.066644),1926.240688362478
POINT (29.01128 41.04504),POINT (29.0004588 41.0487174),1251.7528827304468
POINT (29.04219 41.07037),POINT (29.03654855 41.07449),742.9745893844226
POINT (29.01418 41.04539000000001),POINT (29.0004588 41.0487174),1554.9724729342172
POINT (29.00384 41.04394),POINT (29.0004588 41.0487174),597.6028511879463
POINT (28.99942 41.04452),POINT (29.0004588 41.0487174),424.8875353994045
POINT (29.0052 41.04686),POINT (29.0004588 41.0487174),555.7857528943065
POINT (28.99951 41.04839000000001),POINT (29.0004588 41.0487174),109.89329463275023
POINT (29.00135 41.04638),POINT (29.0004588 41.0487174),248.2492942387984
POINT (29.00858 41.05622),POINT (28.9995352 41.0557256),1003.644649219734
POINT (29.03075 41.08409),POINT (29.02571553100006 41.07891799500004),751.796407138339
POINT (29.00451 41.04485),POINT (29.0004588 41.0487174),586.1869839447022
POINT (29.00368 41.04538),POINT (29.0004588 41.0487174),482.92065107099137
POINT (29.00675 41.04326),POINT (29.0004588 41.0487174),876.9071696971214
POINT (29.00111 41.0608),POINT (29.0009039 41.06547929999999),456.5133437713114
POINT (29.00427 41.04309),POINT (29.0004588 41.0487174),692.160434509231
POINT (29.02292000000001 41.05469),POINT (29.016612 41.066644),1358.3164141744198
POINT (29.02147 41.05186),POINT (29.016612 41.066644),1537.62966325615
POINT (29.00342 41.04755),POINT (29.0004588 41.0487174),347.3592231679035
POINT (29.00766 41.04778),POINT (29.0004588 41.0487174),803.3599486335493
POINT (28.99936 41.04773),POINT (29.0004588 41.0487174),155.20476369329967
POINT (29.00824 41.05158),POINT (29.0001178 41.0527306),907.1845825394535
POINT (29.02667000000001 41.05106),POINT (29.016612 41.066644),1883.5076154951596
POINT (28.99821 41.04318),POINT (29.0004588 41.0487174),594.3492912484555
POINT (29.02745 41.08442),POINT (29.02571553100006 41.07891799500004),569.4059190713863
POINT (28.99775 41.04632),POINT (29.0004588 41.0487174),380.40649314996034
POINT (29.00524 41.05492),POINT (29.0001178 41.0527306),606.4801087888586
POINT (29.00677 41.04548),POINT (29.0004588 41.0487174),767.3402704427107
POINT (29.04583 41.08498),POINT (29.03654855 41.07449),1449.896652632962
POINT (29.01012 41.08951),POINT (29.01134024300007 41.08607120700003),361.30582879364636
POINT (29.00728 41.05565),POINT (29.0001178 41.0527306),843.2537997593812
POINT (29.00242 41.04433),POINT (29.0004588 41.0487174),479.58770350944394
POINT (28.99907 41.04737),POINT (29.0004588 41.0487174),202.3140487498883
POINT (29.00258 41.04988),POINT (29.0004588 41.0487174),260.9728854745499
POINT (29.04078 41.08848),POINT (29.03654855 41.07449),1441.113971370349
POINT (29.02607 41.05084),POINT (29.016612 41.066644),1862.6059096366266
POINT (29.04378 41.06886),POINT (29.03654855 41.07449),971.145511094725
POINT (28.99993 41.04386),POINT (29.0004588 41.0487174),476.91398003948194
POINT (29.00668 41.05726),POINT (28.9995352 41.0557256),805.8890586608765
POINT (29.00222 41.04388),POINT (29.0004588 41.0487174),510.16723687793444
POINT (29.03342 41.08189),POINT (29.03654855 41.07449),799.8751677581187
POINT (29.00166 41.0492),POINT (29.0004588 41.0487174),141.19628889062756
POINT (29.00348 41.04681),POINT (29.0004588 41.0487174),382.9752549554643
POINT (29.00251 41.05679),POINT (28.9995352 41.0557256),345.64126620306365
POINT (29.02268 41.07344000000001),POINT (29.01847813000007 41.07242234200004),476.15417919942763
POINT (29.02107 41.07303),POINT (29.01847813000007 41.07242234200004),293.3088142730735
POINT (29.00881 41.04383),POINT (29.0004588 41.0487174),1040.9256079504373
POINT (29.00817 41.04469),POINT (29.0004588 41.0487174),940.4563956799284
