point_of_origin,nearest_point,distance_in_meter
POINT (29.04442 40.97618),POINT (29.0400193 40.9830405),827.2904887657961
POINT (29.05151 40.98242),POINT (29.04693296500005 40.98701972100001),676.7877615214805
POINT (29.02865 40.98373),POINT (29.0381205 40.9852841),1060.535023997494
POINT (29.02771 40.98697),POINT (29.0381205 40.9852841),1165.488893639849
POINT (29.06553 40.97543),POINT (29.0609895 40.9713669),640.167260917341
POINT (29.02667000000001 40.98598),POINT (29.0381205 40.9852841),1270.9400578742566
POINT (29.02542 40.98627000000001),POINT (29.0381205 40.9852841),1410.9483954746895
POINT (29.02177 40.98441),POINT (29.0381205 40.9852841),1814.2274409532927
POINT (29.02534 40.99259),POINT (29.0381205 40.9852841),1585.262292676502
POINT (29.02552 40.99462),POINT (29.0381205 40.9852841),1666.577794577126
POINT (29.02656 40.99295),POINT (29.0381205 40.9852841),1483.032662885064
POINT (29.0431 40.97555),POINT (29.0400193 40.9830405),805.524023582475
POINT (29.02221 40.98447),POINT (29.0381205 40.9852841),1765.2425397744487
POINT (29.03697 40.99407),POINT (29.0381205 40.9852841),865.2272954491475
POINT (29.0278 40.99609),POINT (29.0381205 40.9852841),1554.478048792629
POINT (29.04714 40.98268),POINT (29.04693296500005 40.98701972100001),423.2885498362966
POINT (29.07824 40.98132),POINT (29.0842411 40.9815672),665.5798628048008
POINT (29.04331 41.00931),POINT (29.0428689 41.0072355),207.8838487959093
POINT (29.0326 41.00767000000001),POINT (29.0428689 41.0072355),1138.9543582550452
POINT (29.02968 40.99544),POINT (29.0381205 40.9852841),1361.5488765499178
POINT (29.03288 40.98628),POINT (29.0381205 40.9852841),588.8827300188725
POINT (29.06653 40.97637),POINT (29.0609895 40.9713669),783.8809071499404
POINT (29.02797 40.99429),POINT (29.0381205 40.9852841),1426.633848660399
POINT (29.02736 40.99408),POINT (29.0381205 40.9852841),1468.5085591961272
POINT (29.02497 40.99607),POINT (29.01217945 41.0053215),1679.9036108581138
POINT (29.05965 40.9756),POINT (29.0609895 40.9713669),438.1493011523392
POINT (29.0671 40.97589),POINT (29.0609895 40.9713669),807.8936763102133
POINT (29.03336 40.9959),POINT (29.0381205 40.9852841),1160.8835835925731
POINT (29.07474 40.97353),POINT (29.0763525 40.9626436),1074.9485221039988
POINT (29.04234000000001 40.98984),POINT (29.04693296500005 40.98701972100001),578.4489781259808
POINT (29.05638 40.99258),POINT (29.0550429 41.0006797),802.6034613550629
POINT (29.02774 40.98633),POINT (29.0381205 40.9852841),1155.038141324513
POINT (29.02749 40.98626),POINT (29.0381205 40.9852841),1182.0738660038692
POINT (29.02789000000001 40.98777000000001),POINT (29.0381205 40.9852841),1159.4777795788996
POINT (29.10458 40.95751),POINT (29.09758958000003 40.97528789900008),1896.098988474708
POINT (29.02449 40.98233),POINT (29.0381205 40.9852841),1537.9147653591108
POINT (29.09661 40.96217),POINT (29.09154825 40.9725396),1154.9103781337155
POINT (29.03397 40.98605),POINT (29.0381205 40.9852841),466.0362081780616
POINT (29.03461 40.99313),POINT (29.0381205 40.9852841),857.5759926710658
POINT (29.02661 40.98443),POINT (29.0381205 40.9852841),1278.4910616086665
POINT (29.035 40.99508),POINT (29.0381205 40.9852841),1014.91613255782
POINT (29.02809 40.98823),POINT (29.0381205 40.9852841),1148.1795752223563
POINT (29.07076 40.98622),POINT (29.06724095 40.98946395),501.9061920711783
POINT (29.03565 40.99516),POINT (29.0381205 40.9852841),1000.1678175878715
