point_of_origin,nearest_point,distance_in_meter
POINT (28.98567 41.04471),POINT (28.9821093 41.0412067),521.834646627158
POINT (28.99739000000001 41.05382),POINT (28.9971406 41.05509910000001),127.6659011158022
POINT (28.98895 41.06761),POINT (28.9899423 41.06849260000001),139.6191424744107
POINT (28.99203 41.06837),POINT (28.9936129 41.0679197),180.84590129355183
POINT (28.98002 41.04693),POINT (28.9821093 41.0412067),603.9333452459977
POINT (28.9803 41.04753),POINT (28.9821093 41.0412067),648.0542671422252
POINT (28.98561 41.07005),POINT (28.9839321 41.0685933),233.96118599815134
POINT (28.99103 41.05585),POINT (28.9910654 41.0517089),403.5580997011468
POINT (28.99495 41.0613),POINT (28.9967448 41.0652149),430.230645041217
POINT (28.9863 41.045),POINT (28.9821093 41.0412067),593.6302908387617
POINT (28.98672 41.05458),POINT (28.9868253 41.0523695),215.7320505667925
POINT (28.99426 41.06208),POINT (28.9967448 41.0652149),411.2934409034591
POINT (28.99549 41.06202),POINT (28.9967448 41.0652149),340.9720745510813
POINT (28.99253 41.05783),POINT (28.99561331400002 41.05553430600003),408.44817465086186
POINT (28.98675 41.04099),POINT (28.9821093 41.0412067),514.7876895344654
POINT (29.00994 41.07587),POINT (29.0167598 41.0740579),776.2229416875873
POINT (28.99618 41.0493),POINT (28.993006 41.05005999999999),359.50301593565547
POINT (28.99202 41.05485),POINT (28.9946951 41.0530658),343.7121061839525
POINT (28.99147 41.06024),POINT (28.9892825 41.0616722),279.7530556278235
POINT (28.98853 41.05509),POINT (28.9868253 41.0523695),325.5522530795702
POINT (28.99108 41.05274),POINT (28.9910654 41.0517089),100.49091953812005
POINT (28.98344 41.04418),POINT (28.9821093 41.0412067),325.1393657235215
POINT (28.98424 41.04603),POINT (28.9821093 41.0412067),526.0420108487187
POINT (28.99464 41.05794),POINT (28.99561331400002 41.05553430600003),258.050389306252
POINT (28.984 41.06262),POINT (28.98725545 41.06247485),361.0966791494204
POINT (28.99077 41.06798),POINT (28.9899423 41.06849260000001),104.45650128810564
POINT (28.98788 41.04251),POINT (28.9821093 41.0412067),652.0873584982561
POINT (28.99886 41.05352),POINT (28.999343 41.054067),75.54266926004915
POINT (28.98674 41.05452),POINT (28.9868253 41.0523695),209.78217016385733
POINT (28.9804 41.05298),POINT (28.97870225 41.05463435),247.79690809068424
POINT (28.9832 41.05606),POINT (28.9863997 41.05934910000001),478.02859115563984
POINT (28.98281 41.04295),POINT (28.9821093 41.0412067),186.80309016376086
POINT (28.98696 41.05019),POINT (28.98894300000007 41.05008799900003),220.01158444156923
POINT (28.9875 41.05131),POINT (28.9868253 41.0523695),127.48558063644727
POINT (28.98454000000001 41.06254000000001),POINT (28.98725545 41.06247485),301.03530483778843
POINT (28.99166 41.05324),POINT (28.9910654 41.0517089),163.10781482354946
POINT (29.00181 41.05093),POINT (29.0001178 41.0527306),256.82479031851784
POINT (28.98736 41.04995),POINT (28.98894300000007 41.05008799900003),175.96732899773613
POINT (28.97864 41.05356),POINT (28.97870225 41.05463435),104.93204829281356
POINT (28.98836 41.0497),POINT (28.98894300000007 41.05008799900003),74.86652038316912
POINT (28.99873 41.07533),POINT (28.9996767 41.07080525),453.20413881458427
POINT (29.00072 41.07186),POINT (28.9996767 41.07080525),154.7056362995054
POINT (28.99647 41.07395),POINT (28.9996767 41.07080525),469.27446114492415
POINT (28.98742 41.05378),POINT (28.9868253 41.0523695),152.44150577700114
POINT (28.98635 41.04929),POINT (28.98894300000007 41.05008799900003),297.731872024675
POINT (28.99457 41.0465),POINT (28.993006 41.05005999999999),387.8028360646357
POINT (28.98673 41.0604),POINT (28.9863997 41.05934910000001),108.75840914555239
POINT (28.98705 41.05646),POINT (28.9863997 41.05934910000001),290.62613727105327
POINT (28.99669 41.07543),POINT (28.9996767 41.07080525),559.1582389564626
POINT (29.00043 41.10163),POINT (29.01134024300007 41.08607120700003),1939.1669229271158
POINT (28.99034 41.05158),POINT (28.9910654 41.0517089),81.37544593346945
POINT (28.99042 41.05183),POINT (28.9910654 41.0517089),72.50017159194972
POINT (28.9784 41.04472),POINT (28.9821093 41.0412067),535.0299272705264
POINT (28.9859 41.04387),POINT (28.9821093 41.0412067),493.848932966299
POINT (28.98461 41.06243),POINT (28.98725545 41.06247485),293.24243386001467
POINT (28.99327000000001 41.05826),POINT (28.99561331400002 41.05553430600003),371.4845905596129
POINT (28.98649 41.05136),POINT (28.9868253 41.0523695),105.16261304240821
POINT (28.98477 41.05187),POINT (28.9868253 41.0523695),232.94301639296162
POINT (28.98683 41.04879),POINT (28.98894300000007 41.05008799900003),266.17167985718527
POINT (28.99624 41.04892),POINT (28.993006 41.05005999999999),375.2615123061319
POINT (28.98705 41.04768),POINT (28.98894300000007 41.05008799900003),314.77964968682926
POINT (28.99865 41.07041),POINT (28.9996767 41.07080525),120.1356360218714
POINT (28.99767 41.07412),POINT (28.9996767 41.07080525),392.1611920901464
POINT (28.99919 41.04956),POINT (29.0004588 41.0487174),162.8407691490047
POINT (28.98374 41.04513),POINT (28.9821093 41.0412067),422.91174638795536
POINT (28.98395 41.04513),POINT (28.9821093 41.0412067),433.36979725191645
POINT (28.97405 41.06566),POINT (28.9736036 41.0620394),356.32785135344477
POINT (28.98714 41.05108),POINT (28.9868253 41.0523695),130.41416115403516
POINT (28.99805 41.05084),POINT (29.0001178 41.0527306),294.04619900746286
POINT (28.98379000000001 41.0418),POINT (28.9821093 41.0412067),195.048289964065
POINT (28.98689 41.04746),POINT (28.98894300000007 41.05008799900003),342.5838292501784
POINT (28.98629 41.05084),POINT (28.9868253 41.0523695),160.42632399746836
POINT (28.9845 41.04214),POINT (28.9821093 41.0412067),280.1501868598696
POINT (28.98422 41.04687),POINT (28.98894300000007 41.05008799900003),610.2225918368582
POINT (28.98582 41.04242),POINT (28.9821093 41.0412067),427.9368090421581
POINT (28.986 41.04563),POINT (28.98894300000007 41.05008799900003),543.2614458793204
POINT (28.98512 41.05768),POINT (28.9863997 41.05934910000001),215.8124177287407
POINT (28.98398 41.04483),POINT (28.9821093 41.0412067),409.4815116266451
POINT (28.98576 41.04333),POINT (28.9821093 41.0412067),454.46747521360066
POINT (28.98226 41.05259),POINT (28.97870225 41.05463435),441.8000507632253
POINT (28.99596 41.07569),POINT (28.9996767 41.07080525),629.4831822304318
POINT (28.98079 41.04703),POINT (28.9821093 41.0412067),586.0526181234454
POINT (28.98708 41.05774),POINT (28.9863997 41.05934910000001),173.99546646027517
POINT (28.98641 41.0497),POINT (28.98894300000007 41.05008799900003),283.28118883997274
POINT (28.98457 41.06243),POINT (28.98725545 41.06247485),297.6753691446921
POINT (28.98497 41.06297),POINT (28.98725545 41.06247485),257.8640542435125
POINT (29.01071 41.06475),POINT (29.0084154 41.0687452),464.9709041363514
POINT (28.98786 41.05128),POINT (28.9868253 41.0523695),156.28334282352603
POINT (28.98905 41.05125),POINT (28.98894300000007 41.05008799900003),113.855432151803
POINT (28.97671 41.06224),POINT (28.9736036 41.0620394),344.8535961127765
POINT (28.98637 41.04234),POINT (28.9821093 41.0412067),484.97996124302887
POINT (28.99668 41.05145),POINT (28.9946951 41.0530658),270.5346412615384
POINT (28.98331 41.04306),POINT (28.9821093 41.0412067),224.34703397931116
POINT (28.98329 41.05323),POINT (28.9868253 41.0523695),400.70972945708314
POINT (28.99582 41.05296),POINT (28.9946951 41.0530658),125.10457560033636
POINT (28.97796 41.05338),POINT (28.97870225 41.05463435),147.35169717879944
POINT (28.98462 41.05666),POINT (28.9863997 41.05934910000001),328.0004842667244
POINT (28.98645 41.06235),POINT (28.98725545 41.06247485),90.09777196916004
POINT (28.98592 41.0547),POINT (28.9868253 41.0523695),248.28909384391136
POINT (28.97986 41.05187),POINT (28.97870225 41.05463435),298.4076513626781
POINT (28.98268 41.04247),POINT (28.9821093 41.0412067),138.4140592720098
POINT (28.99372 41.05989),POINT (28.99561331400002 41.05553430600003),473.4780315338424
POINT (28.99178 41.05634000000001),POINT (28.99561331400002 41.05553430600003),432.060938483521
POINT (28.98645 41.04654),POINT (28.98894300000007 41.05008799900003),442.6000321425883
POINT (28.99343 41.0628),POINT (28.9967448 41.0652149),436.29710455034666
POINT (28.98709 41.04863),POINT (28.98894300000007 41.05008799900003),249.73506716056337
POINT (28.99415 41.07004000000001),POINT (28.9936129 41.0679197),215.01690934599526
POINT (28.98189 41.05511),POINT (28.97870225 41.05463435),356.34366340543295
POINT (28.98426 41.04181),POINT (28.9821093 41.0412067),245.51759580477807
POINT (28.97914 41.04495),POINT (28.9821093 41.0412067),491.32102419123316
POINT (28.99697 41.0744),POINT (28.9996767 41.07080525),461.18482845871324
POINT (28.99605 41.06511),POINT (28.9967448 41.0652149),77.68407125798956
POINT (28.98648 41.04515),POINT (28.98894300000007 41.05008799900003),553.2500611906286
POINT (28.99567 41.05106),POINT (28.9946951 41.0530658),223.33181065930614
POINT (28.98465 41.04694),POINT (28.98894300000007 41.05008799900003),566.1392730660795
POINT (28.98263 41.04312),POINT (28.9821093 41.0412067),195.18853873052214
POINT (28.99101 41.0524),POINT (28.9910654 41.0517089),67.62518041104063
POINT (28.98545 41.05637),POINT (28.9863997 41.05934910000001),308.8126053496774
POINT (28.98336 41.05565),POINT (28.97870225 41.05463435),525.6473167283397
POINT (28.99629 41.05077),POINT (28.9946951 41.0530658),285.1217737507433
POINT (28.99985 41.0723),POINT (28.9996767 41.07080525),146.9082378455171
POINT (28.9827 41.05223),POINT (28.9868253 41.0523695),457.4318027472357
POINT (28.98567 41.0426),POINT (28.9821093 41.0412067),417.35728750436
POINT (28.99902 41.05753),POINT (28.9993687 41.0557129),181.22665148495864
POINT (28.98396 41.04674),POINT (28.9821093 41.0412067),576.9424337693928
POINT (28.98439 41.04556),POINT (28.9821093 41.0412067),493.84850667076375
POINT (28.98374 41.04659),POINT (28.9821093 41.0412067),554.8895280121201
POINT (28.98367 41.0448),POINT (28.9821093 41.0412067),390.5788661925148
