,point_of_origin,nearest_point,distance_in_meter
0,POINT (29.05367 41.0565),POINT (29.03654855 41.07449),2582.881311468041
1,POINT (29.06929 41.01694000000001),POINT (29.07273431600004 41.00658345600004),1078.2808774692753
2,POINT (29.01548 41.01602000000001),POINT (29.01217945 41.0053215),1104.6434121322698
3,POINT (29.01527 41.0164),POINT (29.01217945 41.0053215),1132.3864507703254
4,POINT (29.03173 41.03382),POINT (29.03867389500005 41.02383388600003),1240.3615621339047
5,POINT (29.01917000000001 41.02971),POINT (29.0346424 41.0199689),1959.931484022346
6,POINT (29.01983 41.0309),POINT (29.0346424 41.0199689),1956.8387722423277
7,POINT (29.04219 41.01616),POINT (29.04619549200004 41.02129809600007),668.9793135790012
8,POINT (29.04734 41.0097),POINT (29.0428689 41.0072355),550.633340840273
9,POINT (29.01908 41.03063),POINT (29.0346424 41.0199689),2013.395560505778
10,POINT (29.01251 41.0243),POINT (29.01217945 41.0053215),1849.3874815643987
11,POINT (29.01541 41.01300000000001),POINT (29.01217945 41.0053215),829.3608646843253
12,POINT (29.0125 41.01306),POINT (29.01217945 41.0053215),754.7780697467037
13,POINT (29.01355 41.02003),POINT (29.01217945 41.0053215),1441.0316461956104
14,POINT (29.03997 41.02672000000001),POINT (29.03867389500005 41.02383388600003),315.69229669759176
15,POINT (29.02948 41.03438),POINT (29.03867389500005 41.02383388600003),1446.951745046011
16,POINT (29.01064 41.02282),POINT (29.01217945 41.0053215),1713.3645917220242
17,POINT (29.01462 41.01584),POINT (29.01217945 41.0053215),1059.8785531725214
18,POINT (29.01185 41.00825),POINT (29.01217945 41.0053215),287.64394100955786
19,POINT (29.02923 41.03605),POINT (29.03867389500005 41.02383388600003),1584.7975854294764
20,POINT (29.04741 41.0431),POINT (29.06083285 41.0306245),1920.8129725949082
21,POINT (29.01679 41.02816),POINT (29.0346424 41.0199689),2133.5231310390436
22,POINT (29.06907 41.01152),POINT (29.07273431600004 41.00658345600004),629.2908316787803
23,POINT (29.0195 41.0228),POINT (29.0346424 41.0199689),1700.834405336548
24,POINT (29.0154 41.01959),POINT (29.01217945 41.0053215),1435.2198034498344
25,POINT (29.04549 41.04324),POINT (29.06083285 41.0306245),2097.9407313458123
26,POINT (29.01247 41.00859000000001),POINT (29.01217945 41.0053215),320.06547803172714
