listing_id,name,host_id,host_name,district_eng,latitude,longitude,room_type,price,district_tr
4826,The Place,6603,Kaan,Uskudar,41.0565,29.05367,Entire home/apt,635,Üsküdar
20815,The Bosphorus from The Comfy Hill,78838,Gülder,Besiktas,41.06984,29.04545,Entire home/apt,115,Beşiktaş
25436,House for vacation rental furnutare,105823,Yesim,Besiktas,41.07731,29.038909999999998,Entire home/apt,236,Beşiktaş
27271,LOVELY APT. IN PERFECT LOCATION,117026,Mutlu,Beyoglu,41.0322,28.982159999999997,Entire home/apt,272,Beyoğlu
28277,Duplex Apartment with Terrace,121607,Alen,Sisli,41.044709999999995,28.985670000000002,Entire home/apt,671,Şişli
28318,Cosy home overlooking Bosphorus,121721,Aydin,Sariyer,41.09048,29.055590000000002,Entire home/apt,726,Sarıyer
29241,"↪ Istanbul, Your second house ",125742,Şevki,Beyoglu,41.04844,28.952540000000003,Private room,302,Beyoğlu
30697,nice home in popular area,132137,Nan,Beyoglu,41.0335,28.976259999999996,Private room,677,Beyoğlu
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,Sisli,41.05382,28.997390000000003,Private room,339,Şişli
33580,single/double visitors,145271,Mine,Besiktas,41.07687,29.027140000000003,Private room,181,Beşiktaş
33730,Bosphorus Turquoise Room! Sea view♡,145810,Tony,Beykoz,41.08765,29.07596,Private room,121,Beykoz
34177,PETIT HOUSE,147330,Ercan,Besiktas,41.06901,29.03882,Entire home/apt,272,Beşiktaş
34925,A room in galata beyoglu,150435,Esr,Beyoglu,41.02704,28.97588,Private room,417,Beyoğlu
35580,Sea View terrace  House,153032,Michel,Beyoglu,41.03658,28.97213,Entire home/apt,405,Beyoğlu
35938,Cosy Room in Istanbul Center,154245,Sinan,Besiktas,41.04902,28.99829,Private room,454,Beşiktaş
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,Beyoglu,41.02725,28.97718,Entire home/apt,399,Beyoğlu
