hclinic_name,hclinic_search_url,lat,lon
Aesthetic Hairtrans Saç Ekim Merkezi,https://www.google.com/maps/search/Aesthetic Hairtrans Saç Ekim Merkezi,41.0593491,28.9863997
Nurhair Center,https://www.google.com/maps/search/Nurhair Center,41.0030673,28.8200919
Emrah Kılavuz Hair Clinic,https://www.google.com/maps/search/Emrah Kılavuz Hair Clinic,41.05463435,28.97870225
Aesthetic Hair Trans,https://www.google.com/maps/search/Aesthetic Hair Trans,41.0053215,29.01217945
Lifemed,https://www.google.com/maps/search/Lifemed,40.9745877,29.0545995
Este Universal,https://www.google.com/maps/search/Este Universal,41.0877267,29.017713
Hair City İstanbul,https://www.google.com/maps/search/Hair City İstanbul,41.0550991,28.9971406
Hair Transland,https://www.google.com/maps/search/Hair Transland,41.067248,28.997029
DrT Hair Transplant,https://www.google.com/maps/search/DrT Hair Transplant,41.0943323,29.1013868
Vatanmed Saç Ekim Merkezi,https://www.google.com/maps/search/Vatanmed Saç Ekim Merkezi,41.0123804,28.9458539
Estepera,https://www.google.com/maps/search/Estepera,41.0685933,28.9839321
Dr. Zen,https://www.google.com/maps/search/Dr. Zen,41.0652149,28.9967448
Mega Hairtrans,https://www.google.com/maps/search/Mega Hairtrans,41.0777839,29.0253075
Hospitaleste Etiler,https://www.google.com/maps/search/Hospitaleste Etiler,41.0876828,29.0178818
SeHa Saç Ekim Merkezi,https://www.google.com/maps/search/SeHa Saç Ekim Merkezi,41.0053215,29.01217945
Esteliz Estetik Plastik Cerrahi ve Saç Ekimi,https://www.google.com/maps/search/Esteliz Estetik Plastik Cerrahi ve Saç Ekimi,41.0495079,28.8366952
Estetik International,https://www.google.com/maps/search/Estetik International,41.065532,29.0009636
Esteticium,https://www.google.com/maps/search/Esteticium,41.0620668,28.6790924
Novita Saç Ekim Merkezi,https://www.google.com/maps/search/Novita Saç Ekim Merkezi,41.07080525,28.9996767
Acıbadem Atakent Hastanesi,https://www.google.com/maps/search/Acıbadem Atakent Hastanesi,41.0351124,28.7789098
Saç Ekim Türkiye,https://www.google.com/maps/search/Saç Ekim Türkiye,41.0672759,29.0010341
Viliss Saç Ekim Merkezi,https://www.google.com/maps/search/Viliss Saç Ekim Merkezi,41.0199689,29.0346424
Anatolia Saç Ekim Yeliz Damar,https://www.google.com/maps/search/Anatolia Saç Ekim Yeliz Damar,40.881102,29.256068
Kulis Güzellik Ve Estetik Merkezi,https://www.google.com/maps/search/Kulis Güzellik Ve Estetik Merkezi,40.8683373,29.0636872
Acıbadem Beylikdüzü Hastanesi,https://www.google.com/maps/search/Acıbadem Beylikdüzü Hastanesi,41.0035576,28.6558715
Vega Center,https://www.google.com/maps/search/Vega Center,40.9336237,29.0390937
Avrupa Saç Ekimi,https://www.google.com/maps/search/Avrupa Saç Ekimi,41.013361,28.656984
Newest Estetik,https://www.google.com/maps/search/Newest Estetik,40.9626436,29.0763525
Star Hair Transplant,https://www.google.com/maps/search/Star Hair Transplant,41.055493,28.998429
Dr.Kandulu Saç Ekim Merkezi,https://www.google.com/maps/search/Dr.Kandulu Saç Ekim Merkezi,41.054067,28.999343
Özel Bahat Hastanesi Sultangazi,https://www.google.com/maps/search/Özel Bahat Hastanesi Sultangazi,41.1061175,28.8603265
Estetrend,https://www.google.com/maps/search/Estetrend,41.035788,28.9283365
Este Medica İstanbul,https://www.google.com/maps/search/Este Medica İstanbul,41.065578,28.998253
Hair Saç Ekim Merkezi,https://www.google.com/maps/search/Hair Saç Ekim Merkezi,41.0711126,28.96747055
My Secret Hair Clinic,https://www.google.com/maps/search/My Secret Hair Clinic,41.012899,28.645129
Hair Estetic,https://www.google.com/maps/search/Hair Estetic,41.0053215,29.01217945
Medicana Bahçelievler Hastanesi,https://www.google.com/maps/search/Medicana Bahçelievler Hastanesi,41.0066336,28.8700074
MC Hair Center,https://www.google.com/maps/search/MC Hair Center,40.9850839,28.8686007
Op. Dr. Bülent Cihantimur,https://www.google.com/maps/search/Op. Dr. Bülent Cihantimur,41.0654793,29.0009039
