,centroid,origin_geometry,distance_origin_to_centroid,geometry
0,POINT (29.03654855 41.07449),POINT (29.05367 41.0565),2582.881311468041,POINT (29.05367 41.0565)
1,POINT (29.03654855 41.07449),POINT (29.04545 41.06984),1085.5960557997148,POINT (29.04545 41.06984)
2,POINT (29.03654855 41.07449),POINT (29.03891 41.07731),379.4112953842702,POINT (29.03891 41.07731)
3,POINT (28.9796001 41.03029625),POINT (28.98216 41.0322),339.00449716258845,POINT (28.98216 41.0322)
4,POINT (28.9821093 41.0412067),POINT (28.98567 41.04471),521.834646627158,POINT (28.98567 41.04471)
5,POINT (29.03654855 41.07449),POINT (29.05559 41.09048),2622.8839728623034,POINT (29.05559 41.09048)
6,POINT (28.953994 41.036385),POINT (28.95254000000001 41.04844),1186.1524138173786,POINT (28.95254000000001 41.04844)
7,POINT (28.9780884 41.0317305),POINT (28.97626 41.0335),266.09899707877287,POINT (28.97626 41.0335)
8,POINT (28.9971406 41.05509910000001),POINT (28.99739000000001 41.05382),127.6659011158022,POINT (28.99739000000001 41.05382)
9,POINT (29.0253075 41.0777839),POINT (29.02714000000001 41.07687),221.76199622044692,POINT (29.02714000000001 41.07687)
10,POINT (29.1013868 41.0943323),POINT (29.07596 41.08765),2892.348899670789,POINT (29.07596 41.08765)
11,POINT (29.03654855 41.07449),POINT (29.03882 41.06901),590.1649669164688,POINT (29.03882 41.06901)
12,POINT (28.9796001 41.03029625),POINT (28.97588 41.02704),520.3075450662532,POINT (28.97588 41.02704)
13,POINT (28.9780884 41.0317305),POINT (28.97213 41.03658),812.1093010161591,POINT (28.97213 41.03658)
14,POINT (29.0004588 41.0487174),POINT (28.99829 41.04902),242.18216619370662,POINT (28.99829 41.04902)
15,POINT (28.9796001 41.03029625),POINT (28.97718 41.02725),400.1118806899568,POINT (28.97718 41.02725)
16,POINT (28.9796001 41.03029625),POINT (28.97958 41.03082),51.092242863938814,POINT (28.97958 41.03082)
17,POINT (29.03654855 41.07449),POINT (29.03473 41.06486),959.426113781112,POINT (29.03473 41.06486)
18,POINT (28.99013805 41.03554045),POINT (28.98902 41.03467),150.17072301084394,POINT (28.98902 41.03467)
19,POINT (28.9899423 41.06849260000001),POINT (28.98895 41.06761),139.6191424744107,POINT (28.98895 41.06761)
20,POINT (28.9936129 41.0679197),POINT (28.99203 41.06837),180.84590129355183,POINT (28.99203 41.06837)
21,POINT (28.95731345 41.01471045),POINT (28.96325 41.01717),700.2957232702757,POINT (28.96325 41.01717)
22,POINT (28.9796001 41.03029625),POINT (28.97858 41.02752),293.24218384887257,POINT (28.97858 41.02752)
23,POINT (28.9821093 41.0412067),POINT (28.98189 41.0385),264.90104858288925,POINT (28.98189 41.0385)
24,POINT (28.9821093 41.0412067),POINT (28.98002 41.04693),603.9333452459977,POINT (28.98002 41.04693)
25,POINT (28.99013805 41.03554045),POINT (28.98561 41.03442),513.6093130589559,POINT (28.98561 41.03442)
26,POINT (28.99013805 41.03554045),POINT (28.99067 41.03704000000001),157.57397779615908,POINT (28.99067 41.03704000000001)
27,POINT (28.99013805 41.03554045),POINT (28.98706 41.03553),341.1589662235118,POINT (28.98706 41.03553)
28,POINT (28.99013805 41.03554045),POINT (28.99057 41.03343),211.15798713201633,POINT (28.99057 41.03343)
29,POINT (28.99013805 41.03554045),POINT (28.98873 41.03656),185.0042425932595,POINT (28.98873 41.03656)
30,POINT (28.98894300000007 41.05008799900003),POINT (28.99015 41.05018),134.07863760124437,POINT (28.99015 41.05018)
31,POINT (28.9780884 41.0317305),POINT (28.97876 41.03326),166.61595683236524,POINT (28.97876 41.03326)
32,POINT (28.9780884 41.0317305),POINT (28.97404 41.02945),500.7362283757419,POINT (28.97404 41.02945)
33,POINT (28.9796001 41.03029625),POINT (28.98053 41.03082),115.01306158584573,POINT (28.98053 41.03082)
34,POINT (28.9796001 41.03029625),POINT (28.97836 41.01429),1565.9904792359985,POINT (28.97836 41.01429)
35,POINT (29.03654855 41.07449),POINT (29.037 41.06319000000001),1101.806487429297,POINT (29.037 41.06319000000001)
36,POINT (28.9796001 41.03029625),POINT (28.984 41.03103),492.87985629565503,POINT (28.984 41.03103)
37,POINT (28.95731345 41.01471045),POINT (28.97648 41.00389000000001),2371.7290074107664,POINT (28.97648 41.00389000000001)
38,POINT (28.95731345 41.01471045),POINT (28.97851 41.00527),2523.094158734294,POINT (28.97851 41.00527)
39,POINT (28.99013805 41.03554045),POINT (28.99216 41.03518),226.84001641383122,POINT (28.99216 41.03518)
40,POINT (29.0400193 40.9830405),POINT (29.04442 40.97618),827.2904887657961,POINT (29.04442 40.97618)
41,POINT (28.9780884 41.0317305),POINT (28.97297 41.03398),608.1902075988976,POINT (28.97297 41.03398)
42,POINT (28.9459883 41.0693131),POINT (28.95651 41.06496),1240.9831499897568,POINT (28.95651 41.06496)
43,POINT (28.9796001 41.03029625),POINT (28.9779 41.02893),230.72950700485467,POINT (28.9779 41.02893)
44,POINT (29.04693296500005 40.98701972100001),POINT (29.05151 40.98242),676.7877615214805,POINT (29.05151 40.98242)
45,POINT (28.99013805 41.03554045),POINT (28.98537 41.03282),591.2383224359739,POINT (28.98537 41.03282)
